ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
000001.SZ,20220104,13.268837476979742,13.413764099907917,13.02729310543278,13.413764099907917,16.48,0.18,1.0922,1169259.33,1918887.05,111.922
000001.SZ,20220105,13.349352267495394,13.864646926795578,13.325197830340699,13.80828657343462,16.66,0.49,2.9412,1961998.17,3344124.589,111.922
000001.SZ,20220106,13.77608065722836,13.904904322053406,13.68751438766114,13.784132136279926,17.15,-0.03,-0.1749,1107885.19,1896535.837,111.922
000001.SZ,20220107,13.768029178176796,13.912955801104971,13.735823261970532,13.848543968692448,17.12,0.08,0.4673,1126630.7,1937710.958,111.922
000001.SZ,20220110,13.921007280156536,14.025676507826887,13.711668824815838,13.840492489640884,17.2,-0.01,-0.0581,909774.01,1563414.572,111.922
000001.SZ,20220111,13.896852843001842,14.12229425644567,13.800235094383057,14.017625028775322,17.19,0.22,1.2798,1581999.4,2752485.391,111.922
000001.SZ,20220112,14.017625028775322,14.049830944981581,13.606999597145485,13.68751438766114,17.41,-0.41,-2.355,1502163.55,2561266.412,111.922
000001.SZ,20220113,13.615051076197053,13.880749884898709,13.542587764732964,13.67141142955801,17.0,-0.02,-0.1176,909422.65,1550319.158,111.922
000001.SZ,20220114,13.68751438766114,13.70361734576427,13.123910854051564,13.148065291206258,16.98,-0.65,-3.828,2103094.91,3459950.804,111.922
000001.SZ,20220117,13.164168249309391,13.268837476979742,12.978984231123388,13.05949902163904,16.33,-0.11,-0.6736,1143689.43,1855633.789,111.922
000001.SZ,20220118,13.083653458793737,13.317146351289132,13.011190147329648,13.301043393186001,16.22,0.3,1.8496,1152974.31,1891094.61,111.922
000001.SZ,20220119,13.317146351289132,13.437918537062615,13.172219728360956,13.284940435082872,16.52,-0.02,-0.1211,988391.85,1630973.587,111.922
000001.SZ,20220120,13.260785997928174,14.05788242403315,13.220528602670349,13.953213196362796,16.5,0.83,5.0303,3031193.77,5195805.549,111.922
000001.SZ,20220121,14.049830944981581,14.138397214548801,13.856595447744013,13.969316154465929,17.33,0.02,0.1154,1481682.95,2575115.124,111.922
000001.SZ,20220124,13.961264675414364,13.993470591620623,13.67141142955801,13.848543968692448,17.35,-0.15,-0.8646,874770.87,1501390.339,111.922
000001.SZ,20220125,13.751926220073663,13.751926220073663,13.534536285681398,13.56674220188766,17.2,-0.35,-2.0349,1093283.97,1851999.025,111.922
000001.SZ,20220126,13.647256992403312,13.768029178176796,13.317146351289132,13.405712620856352,16.85,-0.2,-1.1869,984975.22,1646384.984,111.922
000001.SZ,20220127,13.284940435082872,13.317146351289132,13.083653458793737,13.123910854051564,16.65,-0.35,-2.1021,1024643.11,1677261.296,111.922
